Rank,Location,Province,Numbers,BenfordError,PlotName
445,Sweden,Jonkoping,164,0.34483,sweden_jonkoping.png
446,India,Ladakh,247,0.34582,india_ladakh.png
447,Mexico,Coahuila,285,0.34675,mexico_coahuila.png
448,Russia,Adygea Republic,275,0.34680,russia_adygea_republic.png
449,Uzbekistan,nan,342,0.34689,uzbekistan.png
450,Brazil,Sao Paulo,273,0.34776,brazil_sao_paulo.png
451,Italy,Umbria,242,0.34835,italy_umbria.png
452,Cuba,nan,352,0.34863,cuba.png
453,Peru,nan,79,0.35086,peru.png
454,Malta,nan,327,0.35206,malta.png
455,Russia,Tula Oblast,275,0.35224,russia_tula_oblast.png
456,Russia,Jewish Autonomous Okrug,273,0.35430,russia_jewish_autonomous_okrug.png
457,Mexico,Baja California Sur,286,0.35532,mexico_baja_california_sur.png
458,Russia,Kaluga Oblast,275,0.35794,russia_kaluga_oblast.png
459,Chile,Maule,285,0.35831,chile_maule.png
460,Russia,Bryansk Oblast,275,0.35836,russia_bryansk_oblast.png
